mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.1447451114654541,0.01925925342671937,0.006276130676269531,0.0004932189988043165,20,4,10,50,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 50}",0.881578947368421,0.8930921052631579,0.881578947368421,0.9011532125205931,0.8978583196046128,0.8910523064250413,0.008148619052120887,24
0.28206524848937986,0.018746116555075333,0.010103273391723632,0.002357273857367457,20,4,10,100,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 100}",0.8865131578947368,0.8832236842105263,0.8848684210526315,0.8962108731466227,0.9028006589785832,0.89072335905662,0.007539564973448159,31
0.5576924324035645,0.009823414889746815,0.015183734893798827,0.00044028330823196477,20,4,10,200,"{'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 200}",0.8930921052631579,0.8848684210526315,0.8832236842105263,0.8962108731466227,0.8962108731466227,0.8907211913639121,0.00559217272086914,32
0.1555788516998291,0.01440817529165198,0.0060825347900390625,0.0012419626696651533,30,1,2,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.8914473684210527,0.8898026315789473,0.8799342105263158,0.8945634266886326,0.8929159802306426,0.8897327234891182,0.005146349532437488,44
0.2947390556335449,0.012794606585629809,0.009193515777587891,0.0008096370673678556,30,1,2,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8914473684210527,0.8865131578947368,0.8848684210526315,0.8846787479406919,0.8962108731466227,0.8887437136911471,0.004462856439085758,48
0.5898958683013916,0.020083356519161176,0.01919102668762207,0.003508470186045477,30,1,2,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8881578947368421,0.8865131578947368,0.8947368421052632,0.8978583196046128,0.8962108731466227,0.8926954174976155,0.004516433274547635,6
0.15604405403137206,0.013544694209054043,0.006531047821044922,0.0018612487259715852,30,1,5,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 50}",0.8848684210526315,0.8914473684210527,0.8881578947368421,0.8830313014827018,0.8912685337726524,0.8877547038931761,0.00337005915558319,53
0.2876448154449463,0.019882498222699666,0.009471797943115234,0.0013310670987182352,30,1,5,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8930921052631579,0.8865131578947368,0.8963815789473685,0.8879736408566722,0.8896210873146623,0.8907163140553196,0.003581282165889687,34
0.6150638580322265,0.05967199834973242,0.02407832145690918,0.005466190588157561,30,1,5,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8947368421052632,0.8848684210526315,0.8963815789473685,0.8929159802306426,0.8879736408566722,0.8913752926385156,0.004304584727014594,23
0.1449270725250244,0.009431127966915457,0.006532716751098633,0.0008697193750697102,30,1,10,50,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 50}",0.8865131578947368,0.8865131578947368,0.8848684210526315,0.8929159802306426,0.8879736408566722,0.8877568715858841,0.0027604414465559972,52
0.30092225074768064,0.019799308543125543,0.011460351943969726,0.0010143917189438297,30,1,10,100,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 100}",0.8914473684210527,0.8898026315789473,0.8914473684210527,0.8896210873146623,0.8929159802306426,0.8910468871932714,0.0012161707559038277,28
0.5985124588012696,0.04188154199000461,0.018902587890625,0.002577251740789967,30,1,10,200,"{'max_depth': 30, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 200}",0.8881578947368421,0.8832236842105263,0.8898026315789473,0.8978583196046128,0.8962108731466227,0.8910506806555103,0.0053695296781974666,25
0.13486876487731933,0.0013946085362240065,0.005260992050170899,0.00042715378705048316,30,2,2,50,"{'max_depth': 30, 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 50}",0.8914473684210527,0.8848684210526315,0.881578947368421,0.899505766062603,0.8879736408566722,0.8890748287522762,0.006156754272987796,47
